Model,Accuracy,Precision,Recall,F1 Score
Random Forest,0.848605577689243,0.8248175182481752,0.889763779527559,0.8560606060606061
Logistic Regression,0.8207171314741036,0.8306451612903226,0.8110236220472441,0.8207171314741036
Decision Tree,0.8047808764940239,0.76,0.8976377952755905,0.8231046931407943
KNN,0.7529880478087649,0.7981651376146789,0.6850393700787402,0.7372881355932204
